Nº,Autor,Título,Editorial,ISBN
1696," Bonelli, Florencia",Caballo de fuego Congo 2," Argentina : Ed. Alfaguara, 2014 ; 300 p. ; 21 cm.",ISBN : 978-987-04-3321-7
1697," Bonelli, Florencia",Caballo de fuego Gaza 1," Argentina : Ed. Alfaguara, 2014 ; 361 p. ; 21 cm.",ISBN : 978-987-04-3320-0
1698," Bonelli, Florencia",Caballo de fuego Gaza 2," Argentina : Ed. Alfaguara, 2014 ; 318 p. ; 21 cm.",ISBN : 978-987-04-3325-5
1699, Morris - Goscinny,Lucky Luke, Argentina : Ed. Lucky Comics. 2004 ; il. ; 208 ; 20 cm.,nan
1700," Blajaquis, Camilo",La venganza del cordero atado," Argentina : Ed. Continente, 2011 ; 127 p. ; 19 cm.",ISBN : 978-95-754-36-7
1701," Díaz, Jorge",La justicia de los errantes," Argentina : Ed. Plaza & Janés, 2012 ; 459 p. ; 22 cm.",ISBN : 978-950-644-260-6
1702," Turow, Scott",Inocente," Argentina : Ed. Mondadori, 2010 ; 427 p. ; 22 cm.",ISBN : 978-987-658-062-5
1703," Kazinski, A. J. ",El último hombre bueno," Argentina : Ed. Ediciones B, 2011 ; 518 p. ; 22 cm.",ISBN : 978-84-666-4732-8
1704," Grisham, John",Tiempo de matar," Argentina : Ed. Sudamericana, 2011 ; 641 p. ; 18 cm.",ISBN : 978-95-07-3351-9
1705," Grisham, John",El jurado," Argentina : Ed. B, 1998 ; 607 p. ; 18 cm",ISBN : 956-7510-13-X
1706," Grisham, John",La tapadera," Argentina : Ed. Sudamericana, 2011 ; 513 p. ; 18 cm.",ISBN : 978-950-07-3349-6
1707," Steel, Danielle",Su alteza real," Argentina : Ed. Sudamericana, 2012 ; 347p. ; 18 cm.",ISBN : 978-950-07-3302-1
1708," Steel, Danielle",Esperanza," Argentina : Ed. Sudemaricana, 2011 ; 232 p. ; 18 cm.",ISBN : 978-950-07-3552-0
1709," Steel, Danielle",El beso," Argentina : Ed. Sudamericana, 2012 ; 365 p. ; 18 cm.",ISBN : 978-950-07-331-4
1710," Steel, Danielle",El largo camino a casa," Argentina : Ed. Sudamericana, 2011 ; 377 p. ; 18 cm.",ISBN : 978-950-07-3308-3
1711, Steel. Danielle,Epezar de nuevo," Argentina : Ed. Sudamericana, 2015 ; 234 p. ; 18 cm.",ISBN : 978-950-7-5104-9
1712," Steel, Danielle",El anillo," Argentina : Ed. Sudamericana, 2011 ; 455 p. ; 18 cm.",ISBN : 978-950-07-3553-7
1713," Steel, Danielle",Ecos," Argentina : Ed. Sudamericana, 2010 ; 349 p. ; 18 cm.",ISBN : 978-950-07-3298-7
1714," Steel, Danielle",Aguila solitaria," Argentina : Ed. Sudamericana, 2011 ; 356 p. ; 18 cm.",ISBN : 978-950-07-3443-1
1715," Sheldon, Sidney",más allá de la medianoche," Argentina : Ed. Emecé, 2014 ; 382 p. ; 18 cm.",ISBN : 978-95-04-3610-6
1716," Sheldon, Sidney",La conspiración del juicio final," Argentina : Ed. Emecé, 2014 ; 332 p. ; 18 cm.",ISBN : 978-95-4-3611-3
1717," Sheldon, Sidney",El precio de la intriga," Argentina : Ed. Emecé, 2014 ; 478 p. ; 18 cm.",ISBN : 978-95-4-3609-
1718," Sheldon, Siney",¿Tienes miedo a la oscuridad?," Argentina : Ed. Emecé, 2014 ; 294 p. ; 18cm.",ISBN : 978-950-04-3618-2
1719," Sheldon, Sidney",Los mejores planes," Argentina : Ed. Emecé, 2014 ; 254 p. ; 18 cm.",ISBN : 978-950-04-3621-2
1720," Steel, Danielle",Juego de cita," Argentina : Ed. Sudamericana, 2010 ; 386 p. ; 18 cm.",ISBN : 978-950-07-3299-4
1721," Quintero, Dante Raúl",Correrías de Patoruzito John el solitario," Argentina : Ed. ORBIT, 2010 ; il. ; 64 p. ; 13 cm.",ISBN : 978-987-1721-22-1
1722," Quintero, Dante Raúl",Correrías de Patoruzito  La bella y el ogro," Argentina : Ed. ORBIT, 2010 ; il. ; 64 p. ; 13 cm.",ISBN : 978-987-1721-15-3
1723," Quintero, Dante Raúl",Andanzas de Patoruzú El gran lagarto," Argentina : Ed. ORBIT, 2010 ; il. ; 64 p. ; 13cm.",ISBN : 978-987-1721-52-8
1724," Quintero, Dante Raúl","Correrías de Patoruzito Sonrrisas, el payaso"," Argentina : Ed. ORBIT, 2010 ; il. ; 64 p. ; 13 cm.",ISBN : 978-987-1721-01-6
1725," Quintero, Dante Raúl",Andanzas de Patoruzú Capeón olímpico," Argentina : Ed. ORBIT, 2010 ; il. ; 64 p. ; 13 cm.",ISBN : 978-987-1721-48-1
1726," Bornamann, Elsa Isabel",El libro de los chicos emamorados," Argentina : Ed. ALFAGUARA, 2012 ; il. ; 130 p. ; 19cm.",ISBN : 978-987-4-0228-2
1727," Por, Edgar Allan y Verne, Julio","La carta robada, La vuelta al mundo en 80 días"," Argentina : Ed. TintaFresca, 2014 ; il. ; 19 cm.",ISBN : 978-987-1789-56-6
1728," Pescetti, Luis María",Natacha," Argentina : Ed. Alfaguara, 2013; il. ; 114 p. ; 19 cm.",ISBN : 978-987-04-112-5
1729," Blake, Michael",Bailando con lobos," España : Ed. Grijalbo, 1993 ; 351 p. ; 20 cm.",ISBN : 84-473-0139-7
1730," Eco, Homberto",La misteriosa llama de la reina Loana," Argentina : Ed. Lumen, 2005 ; 58 p. ; 22 cm.",ISBN : 84-264-1491-5
1731,"  De Miguel, María Esther","El General, el Pintor y la Dama"," Argentina : Ed. Planeta, 2006 ; 283 p. ; 22 cm.",ISBN : 950-49-1570-1
1732," Riel, Jorn",La historia de los hombres que amaban el hielo," España : Ed grijalbo, 1999 ; 20 cm.",ISBN : 84-253-3350-4
1733," Bracco, Diego",El mejor de los mundos," Argentina : Ed. El Ateneo, 2010 ; 222 p. ; 22 cm.",ISBN : 978-950-2-0566-5
1734," Grisham, John",El estafador," Argentina :  Ed. P & J, 2013 ; 394 p. ; 22 cm.",ISBN : 978-950-644-285-9
1735, Nik,Gaturro a lo grande 6,"Argentina : Ed. Catapulta, 2017 ; il. ; 93 p. ; 27 cm.",ISBN : 978-987-637-646-4
1736, Nik,Gaturro 27," Argentina : Ed. De la Flor, 2016 ; il. ; 95 p. ; 13 cm.",ISBN : 978-950-515857-7
1737, Nik,Gaturro 28," Argentina : Ed. Dela Flor, 2017 ; il. ; 95 p. ; 13 cm.",ISBN : 978-95-515-862-1
1738, Nik,Gaturro 25,"Argentina : Ed. De la Flor, 2015 ; il. ; 95 p. ; 13 cm.",ISBN : 978-95-515-839-3
1739, Nik,Gaturro 26,"Argentina : Ed. Dela Flor, 2017 ; il. ; 95 p. ; 13 cm.",ISBN : 978-950-515-852-2
1740, Nik,Gaturro 29,"Argentina : Ed. De la flor, 2017 ; il. ; 95 p. ; 13 cm.",ISBN : 978-950-515-863-8
1741," Bornemann, Elsa",Cuadernos de un delfin," Argentina : Ed. Santillana, 2016 ; il. ; 125 p. ; 19 cm.",ISBN : 978-950-46-4699-0
1742," Montes, Graciela",La batalla de los monstruos y las hadas," Argentina : Ed. Santillana, 2017 ; il. ; 100 p. ; 19 cm.",ISBN : 978-950-46-4515-3
1743," Dahl, Roald",Matilda," Argentina : Ed. Santillana, 2015 ; il. ; 287 p. ; 19 cm.",ISBN : 978-950-46-4368-5
1744," Valentino, Esteban", Los guerreros de la hierba," Argentina : Ed, Santillana, 2016 ; il. ; 79 p. ; 19 cm.",ISBN : 978-95-46-4885-7
1745," Roldán, Gustavo",Cuentos que cuentan los indios," Argentina : Ed. Santilana, 2016 ; il. ; 129 p. 19 cm.",ISBN : 978-950-46-4878-9
1746," Mariño, Ricardo",Perdido en la selva," Argentina : Ed. Santillana, 2016 ; il. ; 68 p. ; 19 cm.",ISBN : 978-950-46-4518-4
1747," Escudero, Laura",Encuentro con Flo," Argentina : Ed. SM, 2017 ; 174 p. ; 18 cm.",ISBN : 978-987-573-053-3
1748," Falconi, María Ines",Caídos del mapa i," Argentina : Ed. Quipu, 2016 ; 159 p. ; 20 cm.",ISBN : 978-987-54-27-4
1749," Hirsch, Alex",Gravity falls," Argentina : Ed. Planeta, 2018 ; il. ; 288 p. ; 21 cm.",ISBN : 978-050-49-6131-4
1750, Colección Sueños,"Piratas, Dragones, Dinosaurios en mis sueños, "," Argentina : Ed. Betina, 2016 ; il. ; 14 p. ; 16 cm.",ISBN : 
1751,"Piratas, Dragones, Dinosaurios en mis sueños, "," Argentina : Ed. Betina, 2016 ; il. ; 14 p. ; 16 cm.",ISBN : ,nan
1752," Argentina : Ed. Betina, 2016 ; il. ; 14 p. ; 16 cm.",ISBN : ,nan,nan
1753," Donoghue, Emma",El prodigio," España : Ed.Ediciones B, 2017 ; 426 p.  ",ISBN : 978-84-666-6103-4
2754, Ramos Graciela,Los Amantes de San Telmo," Argentina : Ed. Suma de letras, 2016 ; 378 p. ; 22cm.",ISBN : 978-987-739-028-5
1755," Margall, Gabriela",Huellas en el desierto," Argentina : Ed. Javier Vergara, 2017 ; 237 p. ; 22 cm.",ISBN : 978-950-15-6204-
1756," Perry, Anne",Laberintos de la noche," Argentina : Ed. Ediciones B, 2017 ; 357 p. ; 22 cm.",ISBN : 978-84-666-6128-7
1757," Foenkinos, David",La delicadeza," Argentina : Ed. Seix Barral, 2015 ; 218 p. ; 22 cm. ",ISBN : 978-95-731-716-3
1758," Unamuno, Miguel de",Niebla," Argentina : Ed. Gradifco, 2008 ; 254 p. ; 19 cm.",ISBN : 978-987-571-0801
1759," Austen, Jane",Orgullo y perjuicio," Argentina : Ed. Gradifco, 2008 ; 320p. ; 18 cm.",ISBN : 978-987-1093-72-4
176," Manseau, Peter",La biblioteca de los sueños rotos," España : Ed. Duomo, 2010 ; 446 p. ; 21 cm.",ISBN : 978-84-92723-45-4
1761," Dickens, Charles", Tiempos dificiles," Argentina : Ed. Gradifco, 2008 ; 384 p. ; 19 cm.",ISBN : 978-987-571-082-5
1762," Shakespeare, William",Sueño de un noche de verano. Antonio y Cleopatra," Argentina : Ed. Agebe, 2008 ; 172 p. ; 19 cm.",ISBN : 978-987-1165-79-7
1763," Mastretta, Angeles",Mujeres de ojos grandes," Argentina : Ed. Booket, 2015 ; 237 p. ; 18 cm.",ISBN : 978-987-58-728-0
1764," Ferrari, Andrea",La noche del polizón," Argentina : Ed. Norma, 217 ; 155 p. ; 20 cm.",ISBN : 978-987-545-310-4
1765," Dickens, Charles",Cuento de navidad," Argentina : Ed. Gradifco, 2007 ; 127 p. ; 18 cm.",ISBN : 978-987-1093-91-5
1766," Bodoc, Liliana",El espejo africano," Argentina : Ed. sm, 2018 ; 122 p. ; 19 cm",ISBN : 978-987-573-509-4
1767,El espejo africano," Argentina : Ed. sm, 2018 ; 122 p. ; 19 cm",ISBN : 978-987-573-509-4,nan
1768," Bodoc, Liliana",Amigos por el viento," Argentina : Ed. Alfaguara, 2017; il. ; 85 p. ; 21 cm.",ISBN : 978-987-738-389-8
1769," Serrano, Marcela",La Novena," Argentina : Ed. Alfaguara, 2016 ; 252 p. ; 23 cm.",ISBN : 978-987-738-279-2
1770," Balmaceda, Daniel",Que tenían puesto La moda en la Historia Argentina," Argentina : Ed. Sudamericana, 2018 ; il ; 378 p. ; 22 cm.",ISBN : 978-950-7-6205-2
1771," Benelli, Florencia",Aquí hay dragones,"Argentina : Ed. SUMA, 2018 ; 763 p. ; 22 cm.",ISBN : 978-987-739-11-7
1772," Ruiz Zafón, Carlos",El laberinto de los espíritus," Argentina : Ed. Planeta, 2016 ; 922 p. ; 22 cm.",ISBN : 978-950-49-552-3
1773," Vina, Jackson",Ochenta melodías de pasión," España : Ed OCEANO, 2013 ; 335 p. ; 22 cm.",ISBN : 978-67-8383-0-7
1774," Rolón, Gabriel",La voz ausente," Argentina : Ed. Emecé, 2018 ; 540 p. ; 22 cm.",ISBN : 978-950-4-3981-7
1775," Benedetti, Mario",Con y sin nostalgia," Argentina : Ed. Planeta, 2016 ; 157 p. ; 18 cm.",ISBN : 978-950-4953-5
1776," Benedetti, Mario","El amor, las mujeres y la vida"," Argentina : Ed. Planeta, 2016 ; 175 p. ; 18 cm.",ISBN : 978-950-49-4998-5
1777," Benedetti, Mario",Primavera con esquina rota," Argentina : Ed. Planeta, 2016 ; 219 p. ; 18 cm.",ISBN : 978-950-49-5002-8
1778," Almada, Selva",Ladrilleros," Argentina : Ed. La Página S. A., 2018 ; 177 p. ; 19 cm.",ISBN : 978-987-53712-0
1779," Guarinoni, Mariana",Tierra de fugitivos,"Argentina : Ediciones B, 2018 ; 379 p. ; 18 cm.",ISBN : 978-987-627-847-8
1780," Gruen, Sara",Agua para elefantes," Argentina : Ed. deBolsillo, 2018 ; 534 p. ; 18 cm.",ISBN : 978-987-725-272-9
1781," Roa Bastos, Augusto",Contravida," Argentina : Ed. Norma, 1994 ; 266 p. ; 20 cm.",ISBN : 958-04-2931-6
1782," Bizai, José",Liderazgo Neuroespiritual en acción," Argentina : Ed. Sb, 2018 ; 215 p. ; 22 cm.",ISBN : 978-987-4434-32-6
1783," Colfer, Chris",La tierra de las histórias El hechizo de los deseos," Argentina : Ed. V&R, 2018 ; 438 p. ; 20 cm.",ISBN : 978-987-747-062-8
1784," Pimenta, Paula",Viviendo mi pelícila la estrella de Fani 1," Argentina : Ed. V&R, 2014 ; 365 p. ; 20 cm.",ISBN : 978-987-612-855-1
1785," Furiasse, Mariana",Intermitente Rafaela," Argentina : Ed. SM, 2017 ; 243 p. ; 18 cm.",ISBN : 978-987-731-396-3
1786," Punset, Ana",El Club de las ZAPATILLAS ROJAS," Argentina : Ed. Montena, 2018 ; il. ; 238 p. ;  20 cm.",ISBN : 978-987-4924-4-9
1787," Hirs, Alex",Gravity falls cómix 2," Argentina : Ed.Planeta, 2018 ; il. ; 239 p. ; 20 cm. ",ISBN : 978-950-49-6197-
1788," Falconi, María Ines",Caídos del mapa V," Argentina : Ed. Quipú, 2017 ; 255 p. ; 20 cm.",ISBN : 978-987-54-45-8
1789," Falconi, María Ines",Caídos del mapa VII," Argentina : Ed. Quipu, 2017 ; 239p. ; 20 cm.",ISBN : 978-987-504-47-2
1790," Dahl, Roald",Charlie y la fabrica de chcolate," Argentina : Ed. Santillana, 2015 ; il. ; 199 p. ; 19 cm.",ISBN : 978-950-46-4367-8
1791," Falconi, María ines",Caro Dice," Argentina : Ed. Santillana, 2015 ; il. ; 258 p. ; 19 cm.",ISBN : 978-950-46-4370-8
1792," Bordons, Paloma",Latierra de las papas," Argentina : Ed. SM, 2018 ; 135 p. ; 18 cm.",ISBN : 978-987-573-335-0
1793," Ferrari, Andrea",Café solo," Argentina : Ed. SM, 2013 ; 117 p. ; 18 cm.",ISBN : 978-987-573-366-4
1794," Furiasse, Mariana",Rafaela," Argentina : Ed. SM, 2017 ; 127 p. ; 18 cm. ",ISBN : 978-987-1098-19-4
1795," Brandá Aráoz, María ",Detectives en Recoleta," Argentina : Ed. Alfaguara, 2013 ; il. ; 278 p. ; 19 cm.",ISBN : 978-987-04-0227-5
1796," Gattari, María Florencia",Posición adelantada," Argentina : Ed. SM, 2011 ; 133 p. ; 18 cm.",ISBN : 978-987-573-126-4
1797," Lindo, Elvira",Amigos del alma," Argentina : Ed. Santillana, 2017 ; il. ; 46 p. ; 19 cm.",ISBN : 978-950-46-51963
1798," Bornemann, Elsa",Puro ojos," Argentina : Ed. Santillana, 2016 ; il. ; 63 p. ; 19 cm.",ISBN : 978-950-46-4408-8
1799," Mariño, Ricardo",Cuentos ridículos," Argentina : Ed. Santillana, 2017 ; il. ; 73 p. ; 19 cm.",ISBN : 978-950-46-4445-3
1800," Bornemann, Elsa",¡Nada de tucanes!," Argentina : Ed. Santillana, 2017 ; il. ; 76 p. ; 19 cm.",ISBN : 978-950-46-4321-0
1801," Granatta, María",El gallo Quiquiricó y los zancos traviesos," Argentina : Ed. Sigmar, 2017 ; il. ; 16 p. ; 20 cm.",ISBN : 978-950-11-3442-1
1802," Granatta, María",Viaje en globo y un pichón de avestruz," Argentina : Ed. Sigmar, 2017 ; il. ; 16 p. ; 20 cm.",ISBN : 978-950-113438-4
1803," Hines, J I M C.",La locura de la sirena," Argentina : Ed. El Ateneo, 2018 ; 493 p. ; 22 cm.",ISBN : 978-950-02-0962-5
1804," Lins e Silva, Flávia",Diario de Pilar en Egipto," Argentina : Ed. V & R, 2018 ; il. ; 160 p. ; 18 cm.",ISBN : 978-987-747-131-1
1805," Lins e Silva, Flávia",Diario de Pilar en Machu Pichu," Argentina : Ed. V & R, 2018 ; il. ; 155 p. ; 18 cm.",ISBN : 978-987-747-306-3
1806," Lins e Silva, Flávia",Diario de Pilar en Grecia," Argentina : Ed. V & R, 2018 ; il. ; 151 p. ; 18 cm.",ISBN : 978-987-612-824-7
1807," Rowe, Jeffrey",Gravity falls Dipper y Mabel," Argentina : Ed. Planeta, 2019 ; il. ; 295 p. ; 20 cm.",ISBN : 978-950-49-6080-5
1808," Renzetti, Rob",Gravity falls Guía de misterio y diversión," Argentina : Ed. Planeta, 2018 ; il. ; 160 p. ; 20 cm.",ISBN : 978-950-49-6132-1
1809," Montes, Graciela","Doña Clementina queridita, la achicadora"," Argentina : Ed. Colihue, 2016 ; 74 p. ; 16 cm.",ISBN : 978-950-581-513-5
1810," Schujer, Silvia",Cientos y chinventos," Argentina : Ed. Colihue, 2015 ; 77 p, ; 16 cm.",ISBN : 978-950-581-520-3
1811," Mariño, Ricardo",Cuentos del circo," Argentina : Ed. Colihue, 2015 ; 70 p. ; 16 cm.",ISBN : 978-950-581-530-5
1812," Montes, Graciela",Historia de un amor exagerado," Argentina : Ed. Colihue, 2014 ; 65 p. ; 16 cm.",ISBN : 978-95-581-525-8
1813," Brezenoff, Steve",Ravens Pass  La isla perdida," Uruguay : Ed. Latinbooks, 2016 : il. ; 86 p. ; 19 cm.",ISBN : 978-9974-738-73-7
1814," Brezenoff, Steve",Ravens Pass Tramposos," Uruguay : Ed. Latinbooks, 2016 ; il. ; 87 p. ; 19 cm.",ISBN : 978-9974-738751
1815," Brezenoff, Steve",Ravens Pass No hay lugar como el hogar," Uruguay : Ed. Latinbooks, 2016 ; il. ; 86 p. ; 19 cm.",ISBN : 978-9974-738-74-4
1816, Nik,Gaturro 50 cuentos para leer en un minuti," Argentina : Ed. Sudamericana, 2019 ; il. ; 116 p. ; 20 cm.",ISBN : 978-950-07-6222-9
1817, Nik,Gaturro 31," Argentina : Ed. De la Flor, 2018 ; il. ; 95 p. ; 13 cm.",ISBN : 978-950-515-870-6
1818, Nik,Gaturro 16," Argentina : Ed. De la Flor, 2014 ; il. ; 95 p. ; 13 cm.",ISBN : 978-950-515-7990
1819, Nik,Gaturro 11," Argentina : Ed. De la Flor, 2018 ; il. ; 95 p. ; 13 cm.",ISBN : 978-950-515-788-4
1820, Nik,Gaturro 24," Argentina : Ed. De de la For, 2015 ; il ; 95 p. ; 13 cm.",ISBN : 978-950-515-824-9
1821, Nik,Gaturro 7," Argentina : Ed. De la Flor, 2018 , il. ; 95 p. ; 13 cm.",ISBN : 978-950-515-770-9
1822," Vaccarini, Franco",Lobo y ogro se pelean," Argentina : Ed. SIGMAR, 2017 ; il. ; 16 p. ; 21 cm.",ISBN : 978-95-11-3726-2
1823," Schuff, Nicolas",Aprendiz de bruja," Argentina : Ed. SIGMAR, 2018 ; il. ; 16 p. ; 21 cm.",ISBN : 978-950-11-3723-1
1824," Suárez, Patricia",Pollo primor," Argentina : Ed. SIGMAR, 2018 ; il. 16 p. ; 21 cm.",ISBN : 978-95-11-3730-9
1825," Vaccarini, Franco",El rey mío," Argentina : Ed. SIGMAR, 2017 ; il. ; 16 p. ; 21 cm.",ISBN : 978-950-11-3725-5
1826," Schuff, Nicolas",Cornelia y el horrible pispás,"Argentina : Ed. SIGMAR, 2018 ; il. ; 16 p. ; 21 cm.",ISBN : 978-950-11-2724-8
1827," Suárez, Patricia","Rupert, el valiente"," Argentina : Ed. SIGMAR, 2018 ; il. ; 16 p. ; 21 cm.",ISBN : 978-950-11-3731-6 
1828, Anónimo,El oso anda por el bosque," Argentina : Ed. EDG, 2016 ; il, 14 cm.",ISBN : 978-987-3993-13-8
1829,Anónimo,El zorro sale de paseo," Argentina : Ed. EDG, 2016 ; il. ; 14 cm.",ISBN: 978-987-39939-11-4
1830,Anónimo,El mono hace monerías," Argentina : Ed. EDG, 2016 ; il. ; 14 cm.",ISBN : 978-987-3993-1-7
1831," Dulfano, Carla",Pepe el tractor," Argentina : Ed. Infantil, 2015 ; il. 18 cm.",ISBN : 978-987-598-337-3
1832," Dulfano, Carla",Paco el vagón," Argebntina : Ed. Infantil, 2015 ; il. ; 18 cm.",ISBN : 978-987-598-337-3
1833/12/03/2019," Rivero, Viviana",Zafiros en la piel," Argentina : Ed. Emecé, 2018 ; 244 p. ; 22 cm.",ISBN : 978-950-4-3966-4
1834,"Rivero, Viviana",Sí," Argentina : Ed. Emecé, 2017 ; 557 p. ; 22 cm.",ISBN : 978-950-04-3854-4
1835," Taylor, Elizabeth",Prohibido morir aquí," Argentina : Ed. La Bestia Equilatera, 2018; 253 p. ; 19 cm.",ISBN : 978-950-9749-36-8
1836," Stell, Danielle",La amante," Argentina : Ed. P&J, 2019 ; 298 p. ; 22 cm.",ISBN : 978-950-644-484-6
1837," Eger, Edith",La bailarina de Auschwitz," Argentina : Ed. Planeta, 2018 ; 412 p. ; 22 cm.",ISBN : 978-950-49-6213-7
1838," Margal, Gabriela",La Princesa de las pampas," Argentina : Ed. B, 2018 ; 325 p. ; 18 cm.",ISBN : 978-987-316-9
1839," Border, María",Aunque me resista," Argentina : Ed. P&J, 2018 ; 283 p. ; 18 cm.",ISBN : 978-95-644-451-8
1840," Pilcher, Rosamunde",La casa Vacía," Argentina : Ed. Debolsillo, 2018 ; 188 p. ; 18 cm.",ISBN : 978-987-725-273-6
1841," Guarinoni, Mariana",Tierra de fugitivos," Argentina : Ed. B, 2018 ; 379 p. ; 18 cm.",ISBN : 978-987-627-847-8
1842," Lippincott, Rachael",Ados metros de ti," Argentina : Ed. Nube de tinta, 2019 ; 283 p. ; 21 cm.",ISBN : 978-987-1997-38-1
1843,"Wernicke, Luciano",Istorias insólitas de los juegos olímpicos," Argentina : Ed. Planeta, 2016 ; 316 p. ; 22 cm.",ISBN : 978-950-49-5233-6
1844," Belli, Gioconda",Las fiebres de la memoria," Argentina : Ed. Seix Barral, 2018 ; 358 p. ; 23 cm.",ISBN : 978-980-731-954-9
1845," Casañas, Gloria v.",La mirada del puma Hechozo de amor en la Patagonia, Argentina : Ed. 2018 ; 477 p. ; 22cm.,ISBN : 978-95-644-461-7
1446," Pérez, Fernanda",La piel no olvida," Argentina : Ed. Suma de letras, 2019 ; 477 p. ; 22 cm.",ISBN : 978-987-739-118-3
1447,"Britos, Orlando", Alemanes del Volga,"Argentina : Ed, 2011 ; 118 p. ; 19 cm.",nan
1848," Valentino, Esteban",Es tan difícil volver a Itaca," Argentina : Ed. SM, 2018 ; 113 p. ; 20 cm.",ISBN : 978-987-731-86-7
1849, Homero,ODISEA," Argentina : Ed. Kapelusz, 2018 ; il. ; 191 p. ; 19 cm.",ISBN : 978-95-13-2336-8
1850," Butti, Enrique",No me digan que no," Argentina : Ed. Colihue, 2013  ; il. ; 115 p. ; 17 cm.",ISBN : 978-950-581-085-7
1851," Benedetti, Mario",La tregua," Argentina : Ed. Booket, 2017 ; 223 p. ; 18 cm.",ISBN : 978-987-580-095-3
1852," Devetach, Laura",Monigotes en la arena," Argentina : Ed. Santillana, 2019 ; il. ;  59 p. ; 19 cm.; ",ISBN : 978-950-46-4306-7
1853," Balbiano, Alejandro y Otros",Cinecias Naturales 1- Santillana en línea," Argentina : Ed. Santillana, 2018 ; il. ; 240 p. ; 27 cm.",ISBN : 978-950-46-3993-0
1854," Larsson, Stieg",La reina en el palacio de las corrientes de aire," Aregentina : Ed. Booket, 2015 ; 868 p. ; 19 cm.",ISBN : 978-987-58-488-3
1855," Larsson, Stieg",Lo que no te mata tehace mas fuerte," Argentina : Ed. Booket, 2017 ; 651 p. ; 19 cm.",ISBN : 978-987-58-874-4
1856," Larsson, Stieg",El hombre que perseguía su sombra," Argentina : Ed.Destino, 2017 ; 596 p. ; 22 cm. ",ISBN : 978-95-732-402-4
1857," Verne, Julio",El faro del fondo del mundo," Argentina : Ed. Agebe, 2007 ; 141 p. ; 19 cm.",ISBN : 987-1165-38-2
1858," Casona, Alejandro",La dama del alba," Argentina : Ed. EDAF, 2013 ; 138 p. ; 20 cm",ISBN : 978-84-414-2174-5
1859," Stephen, King",El Instituto," Argentina : Ed. P&J, 2019 ; 618 p. ; 22 cm. ",ISBN : 978-950-644-509-6
1860," Cabrera, Ana María",Macacha Guemes," Argentina : Ed. Emecé, 2016 ; 223 p. ; 22 cm.",ISBN : 978-950-04-3326-6
1861," Margall, Gabriela",La Historia Argentina contada por Mujeres," Argentina : Ed. B, 2018 ; 237 p. ; 22 cm.",ISBN : 978-987-627-318-3
1862," Margall, Gabriela",Ese ancho río entre nosotros," Argentina : Ed. Vergara, 2016 ; 280 p. ; 22 cm.",ISBN : 978-950-15-6183-8
1863," Margall, Gabriela",Lo que no se nombra," Argentina : Ed. B, 2019 ; 333p. ; 22 cm.",ISBN : 978-987-780-044-9
1864," Margall, Gabriela",Ojos color pampa," Argentina : Ed. Sentimental, 2013 ; 282 p. ; 21 cm.",ISBN : 978-987-1568-33-8
1865, Ramos. Graciela,La capitana," Argentina : Ed. SUMA, 2015 ; 421 p. ; 22 cm. ",ISBN : 978-987-734-004-9
1866," Bonelli, Florencia",Nacida bajo el fuego de Aries," Argentina : Ed. Alfaguara, 2017 ; 617 p. ; 21 cm.",ISBN : 978-987-345-4
1867," Bonelli, Florencia",El cuarto arcano El puerto de las tormentas," Argentina : Ed. SUMA, 2018 ; 589 p. ; 22 cm.",ISBN : 978--987-739-109-1
1868," Bonelli, Florencia",Nacida bajo el signo del Toro," Argentina : Ed. Alfaguara, 2014 ; 419 p. ; 20 cm.",ISBN : 978-987-04-2916-6
1869," Binelli, Florencia",Marlene," Argentina : Ed. SUMA, 2018 ; 481 p. ; 22 cm",ISBN : 978-987-739-112-1
1870," Bajo, Cristina y Otras","Ay, amor Diez historias para enamorarte"," Argentina : Ed. P&J, 2015 ; 366 p. ; 22 cm.",ISBN : 978-950-644-343-6
1871," Casañas, Gloria V.",La maestra de la laguna," Argentina : Ed. Debolsillo, 2017 ; 827 p. ; 18 cm.",ISBN : 978-987-725-007-7
1872," Casañas, Gloria V.",Por el sendero de las lágrimas," Argentina : Ed. Debolsillo, 2018 ; 541 p. ; 18 cm.",ISBN : 978-987-725-317-7
1873," Casañas, Gloria V.",La salvaje de Boston," Argentina : Ed. P&J, 2019 ; 55 p. ; 22 cm.",ISBN : 978-95-544-378-8
1874," Casañas, Gloria V.",Noche de luna larga," Argentina : Ed. P&J, 2016 ; 268 p. ; 20 cm.",ISBN : 978-950-644-43-7
1875," Casañas, Gloria V.",En alas de la seducción," Argentina : Ed. P&J, 2018 ; 441 p. ; 23 cm.",ISBN : 978-950-644-128-9
1876," Ramos, Graciela",Lágrimas de la revolución," Argentina : Ed, Alfaguara, 2013 ; 443 p. ; 22 cm.",ISBN : 978-987-04-3106-0
1877," Ramos, Graciela",La boca roja del riachuelo," Argentina : Ed. SUMA, 2017 ; 412 p. ; 22 cm.",ISBN : 978-987-939-083-4
1878, Ramos Graciela,La patria de Enriqueta," Argentina : Ed. SUMA, 2019 ; 287 p. ; 22 cm.",ISBN : 978-987-739-136-7
1879," Guarinoni, Mariana",La dueña de la Santa," Argentina : Ed. Vergara, 2016 ; 393 p. ; 22 cm.",ISBN : 978-950-15-6173-9
